JobID,ProductFamily,BatchSize,DueDateHours,Priority,M1_Cutting,M2_Drilling,M3_Welding,M4_Painting,M5_Assembly
J001,PumpHousing,180,72,5,38,52,44,30,49
J002,ValveBody,120,64,4,27,48,39,41,35
J003,GearCase,160,80,3,41,45,50,33,46
J004,Impeller,90,56,5,24,34,30,36,28
J005,Shaft,220,88,2,43,51,47,29,52
J006,BearingCap,140,60,4,31,40,35,38,33
J007,Coupling,200,76,3,36,49,42,34,45
J008,Flange,110,52,5,26,37,32,39,31
J009,Manifold,170,84,2,40,53,48,35,50
J010,Bracket,150,68,4,32,42,37,40,34
J011,Casing,210,92,2,45,55,51,32,54
J012,Nozzle,130,58,5,29,39,34,37,32
J013,RotorHub,190,78,3,37,50,43,34,47
J014,SealPlate,125,62,4,30,41,36,38,33
J015,Diffuser,175,82,3,39,52,46,35,49
J016,MountingBase,205,86,2,42,54,49,33,51
J017,ClampSet,100,54,5,25,36,31,39,30
J018,GuideVane,165,74,3,35,47,41,34,44
J019,CoverPlate,145,66,4,33,43,38,37,35
J020,Adaptor,155,70,4,34,44,40,36,38
